"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1",5930,"삼성전자",70400,-1100,-1.54,"KOSPI","전기전자",4.20273e+14,3841,18.33,39406,1.79,2994,4.25
"2",660,"SK하이닉스",105500,-2000,-1.86,"KOSPI","전기전자",7.68042e+13,6952,15.18,71275,1.48,1170,1.11
"3",35420,"NAVER",402500,-7500,-1.83,"KOSPI","서비스업",6.6116e+13,6877,58.53,44850,8.97,402,0.1
"4",207940,"삼성바이오로직스",874000,0,0,"KOSPI","의약품",5.78e+13,3642,239.98,69505,12.57,0,0
"5",35720,"카카오",124500,-3500,-2.73,"KOSPI","서비스업",5.54475e+13,369,337.4,14286,8.71,30,0.02
"6",51910,"LG화학",784000,-47000,-5.66,"KOSPI","화학",5.53444e+13,6666,117.61,230440,3.4,10000,1.28
"7",6400,"삼성SDI",732000,1000,0.14,"KOSPI","전기전자",5.03356e+13,8593,85.19,184387,3.97,1000,0.14
"8",5380,"현대차",208500,-1500,-0.71,"KOSPI","운수장비",4.45498e+13,5454,38.23,250888,0.83,3000,1.44
"9",270,"기아",85000,-1000,-1.16,"KOSPI","운수장비",3.44559e+13,3710,22.91,73740,1.15,1000,1.18
"10",68270,"셀트리온",210000,3500,1.69,"KOSPI","의약품",2.89663e+13,3756,55.91,24262,8.66,0,0
"11",323410,"카카오뱅크",59400,-4700,-7.33,"KOSPI","은행",2.8221e+13,309,192.23,6861,8.66,0,0
"12",5490,"POSCO",300500,2500,0.84,"KOSPI","철강금속",2.61996e+13,20165,14.9,508464,0.59,8000,2.66
"13",377300,"카카오페이",193000,13000,7.22,"KOSPI","기타금융",2.51609e+13,NA,NA,1640,117.68,0,0
"14",12330,"현대모비스",252500,-3000,-1.17,"KOSPI","운수장비",2.39353e+13,16389,15.41,349812,0.72,4000,1.58
"15",259960,"크래프톤",472000,-11500,-2.38,"KOSPI","서비스업",2.31075e+13,13771,34.27,28377,16.63,0,0
"16",105560,"KB금융",55400,-1600,-2.81,"KOSPI","기타금융",2.30358e+13,8809,6.29,102219,0.54,1770,3.19
"17",96770,"SK이노베이션",243500,-5000,-2.01,"KOSPI","화학",2.25154e+13,NA,NA,155153,1.57,0,0
"18",17670,"SK텔레콤",309500,0,0,"KOSPI","통신업",2.23026e+13,20463,15.12,294058,1.05,10000,3.23
"19",28260,"삼성물산",116500,-500,-0.43,"KOSPI","유통업",2.17723e+13,6278,18.56,160189,0.73,2300,1.97
"20",66570,"LG전자",122000,-1000,-0.81,"KOSPI","전기전자",1.9965e+13,10926,11.17,85368,1.43,1200,0.98
"21",55550,"신한지주",37850,-350,-0.92,"KOSPI","기타금융",1.95533e+13,6654,5.69,82515,0.46,1500,3.96
"22",51900,"LG생활건강",1231000,14000,1.15,"KOSPI","화학",1.9226e+13,47596,25.86,268428,4.59,11000,0.89
"23",302440,"SK바이오사이언스",249000,16000,6.87,"KOSPI","의약품",1.9e+13,537,463.69,4310,57.77,0,0
"24",34730,"SK",248500,0,0,"KOSPI","기타금융",1.74845e+13,3544,70.12,245819,1.01,7000,2.82
"25",3550,"LG",92400,-700,-0.75,"KOSPI","기타금융",1.45346e+13,8338,11.08,115188,0.8,2500,2.71
"26",15760,"한국전력",22600,-350,-1.53,"KOSPI","전기가스업",1.45084e+13,3102,7.29,107945,0.21,1216,5.38
"27",36570,"엔씨소프트",657000,14000,2.18,"KOSPI","서비스업",1.44238e+13,28504,23.05,143098,4.59,8550,1.3
"28",32830,"삼성생명",68000,-500,-0.73,"KOSPI","보험",1.36e+13,7049,9.65,209474,0.32,2500,3.68
"29",352820,"하이브",346500,-1500,-0.43,"KOSPI","서비스업",1.35311e+13,2956,117.22,33218,10.43,0,0
"30",86790,"하나금융지주",44200,-1100,-2.43,"KOSPI","기타금융",1.32707e+13,8858,4.99,102296,0.43,1850,4.19
"31",91990,"셀트리온헬스케어",84400,1000,1.2,"KOSDAQ","유통",1.30836e+13,1574,53.62,12487,6.76,0,0
